tau | kernel | gamma | iters | baseline_blur | diff_blur | delta_blur | baseline_gaussian_noise | diff_gaussian_noise | delta_gaussian_noise | baseline_brightness_shift | diff_brightness_shift | delta_brightness_shift | baseline_jpeg_compression | diff_jpeg_compression | delta_jpeg_compression | avg_baseline | avg_diff | avg_delta
0.95 | 3 | 1 | 1 | 0.259166 | 0.273233 | +0.014067 | 0.363183 | 0.443782 | +0.080599 | 0.573753 | 0.598511 | +0.024757 | 0.379507 | 0.407434 | +0.027927 | 0.393902 | 0.430740 | +0.036838
0.95 | 3 | 2 | 1 | 0.259166 | 0.273233 | +0.014067 | 0.363183 | 0.443782 | +0.080599 | 0.573753 | 0.598510 | +0.024757 | 0.379507 | 0.407435 | +0.027928 | 0.393902 | 0.430740 | +0.036837
0.95 | 3 | 4 | 1 | 0.259166 | 0.273233 | +0.014067 | 0.363183 | 0.443781 | +0.080599 | 0.573753 | 0.598509 | +0.024756 | 0.379507 | 0.407434 | +0.027927 | 0.393902 | 0.430739 | +0.036837
0.95 | 3 | 1 | 3 | 0.259166 | 0.273230 | +0.014064 | 0.363183 | 0.443777 | +0.080594 | 0.573753 | 0.598502 | +0.024749 | 0.379507 | 0.407432 | +0.027925 | 0.393902 | 0.430735 | +0.036833
0.95 | 5 | 2 | 1 | 0.259166 | 0.273229 | +0.014063 | 0.363183 | 0.443777 | +0.080594 | 0.573753 | 0.598503 | +0.024750 | 0.379507 | 0.407432 | +0.027925 | 0.393902 | 0.430735 | +0.036833
0.95 | 5 | 1 | 1 | 0.259166 | 0.273229 | +0.014063 | 0.363183 | 0.443777 | +0.080594 | 0.573753 | 0.598503 | +0.024750 | 0.379507 | 0.407432 | +0.027925 | 0.393902 | 0.430735 | +0.036833
0.95 | 3 | 2 | 3 | 0.259166 | 0.273228 | +0.014062 | 0.363183 | 0.443776 | +0.080593 | 0.573753 | 0.598500 | +0.024746 | 0.379507 | 0.407432 | +0.027925 | 0.393902 | 0.430734 | +0.036831
0.95 | 3 | 4 | 3 | 0.259166 | 0.273228 | +0.014063 | 0.363183 | 0.443776 | +0.080593 | 0.573753 | 0.598497 | +0.024744 | 0.379507 | 0.407430 | +0.027923 | 0.393902 | 0.430733 | +0.036831
0.95 | 5 | 4 | 1 | 0.259166 | 0.273229 | +0.014063 | 0.363183 | 0.443776 | +0.080593 | 0.573753 | 0.598495 | +0.024741 | 0.379507 | 0.407432 | +0.027925 | 0.393902 | 0.430733 | +0.036831
0.95 | 5 | 1 | 5 | 0.259166 | 0.273226 | +0.014060 | 0.363183 | 0.443772 | +0.080589 | 0.573753 | 0.598492 | +0.024738 | 0.379507 | 0.407435 | +0.027928 | 0.393902 | 0.430731 | +0.036829
0.95 | 3 | 1 | 5 | 0.259166 | 0.273227 | +0.014061 | 0.363183 | 0.443774 | +0.080591 | 0.573753 | 0.598492 | +0.024739 | 0.379507 | 0.407430 | +0.027923 | 0.393902 | 0.430731 | +0.036828
0.95 | 5 | 2 | 3 | 0.259166 | 0.273226 | +0.014060 | 0.363183 | 0.443772 | +0.080589 | 0.573753 | 0.598491 | +0.024738 | 0.379507 | 0.407432 | +0.027925 | 0.393902 | 0.430730 | +0.036828
0.95 | 5 | 1 | 3 | 0.259166 | 0.273228 | +0.014062 | 0.363183 | 0.443773 | +0.080590 | 0.573753 | 0.598488 | +0.024735 | 0.379507 | 0.407432 | +0.027925 | 0.393902 | 0.430730 | +0.036828
0.95 | 5 | 4 | 3 | 0.259166 | 0.273226 | +0.014060 | 0.363183 | 0.443771 | +0.080588 | 0.573753 | 0.598491 | +0.024738 | 0.379507 | 0.407432 | +0.027925 | 0.393902 | 0.430730 | +0.036828
0.95 | 5 | 2 | 5 | 0.259166 | 0.273226 | +0.014060 | 0.363183 | 0.443770 | +0.080587 | 0.573753 | 0.598491 | +0.024738 | 0.379507 | 0.407432 | +0.027925 | 0.393902 | 0.430730 | +0.036827
0.95 | 3 | 4 | 5 | 0.259166 | 0.273226 | +0.014060 | 0.363183 | 0.443773 | +0.080591 | 0.573753 | 0.598489 | +0.024736 | 0.379507 | 0.407430 | +0.027923 | 0.393902 | 0.430730 | +0.036827
0.95 | 5 | 4 | 5 | 0.259166 | 0.273225 | +0.014059 | 0.363183 | 0.443770 | +0.080587 | 0.573753 | 0.598491 | +0.024738 | 0.379507 | 0.407432 | +0.027925 | 0.393902 | 0.430730 | +0.036827
0.95 | 3 | 2 | 5 | 0.259166 | 0.273226 | +0.014060 | 0.363183 | 0.443773 | +0.080590 | 0.573753 | 0.598489 | +0.024736 | 0.379507 | 0.407429 | +0.027922 | 0.393902 | 0.430729 | +0.036827
0.90 | 3 | 1 | 1 | 0.259166 | 0.273196 | +0.014030 | 0.363183 | 0.439624 | +0.076441 | 0.573753 | 0.598200 | +0.024446 | 0.379507 | 0.407676 | +0.028169 | 0.393902 | 0.429674 | +0.035772
0.90 | 3 | 2 | 1 | 0.259166 | 0.273196 | +0.014030 | 0.363183 | 0.439623 | +0.076440 | 0.573753 | 0.598199 | +0.024446 | 0.379507 | 0.407677 | +0.028170 | 0.393902 | 0.429674 | +0.035771
0.90 | 3 | 4 | 1 | 0.259166 | 0.273196 | +0.014030 | 0.363183 | 0.439623 | +0.076440 | 0.573753 | 0.598198 | +0.024445 | 0.379507 | 0.407677 | +0.028170 | 0.393902 | 0.429673 | +0.035771
0.90 | 3 | 1 | 3 | 0.259166 | 0.273192 | +0.014026 | 0.363183 | 0.439619 | +0.076436 | 0.573753 | 0.598191 | +0.024438 | 0.379507 | 0.407675 | +0.028168 | 0.393902 | 0.429669 | +0.035767
0.90 | 5 | 2 | 1 | 0.259166 | 0.273192 | +0.014026 | 0.363183 | 0.439618 | +0.076436 | 0.573753 | 0.598192 | +0.024439 | 0.379507 | 0.407674 | +0.028167 | 0.393902 | 0.429669 | +0.035767
0.90 | 5 | 1 | 1 | 0.259166 | 0.273192 | +0.014026 | 0.363183 | 0.439619 | +0.076436 | 0.573753 | 0.598192 | +0.024439 | 0.379507 | 0.407674 | +0.028167 | 0.393902 | 0.429669 | +0.035767
0.90 | 3 | 2 | 3 | 0.259166 | 0.273191 | +0.014025 | 0.363183 | 0.439617 | +0.076434 | 0.573753 | 0.598188 | +0.024435 | 0.379507 | 0.407674 | +0.028167 | 0.393902 | 0.429668 | +0.035765
0.90 | 5 | 4 | 1 | 0.259166 | 0.273192 | +0.014026 | 0.363183 | 0.439618 | +0.076435 | 0.573753 | 0.598184 | +0.024430 | 0.379507 | 0.407674 | +0.028167 | 0.393902 | 0.429667 | +0.035765
0.90 | 3 | 4 | 3 | 0.259166 | 0.273191 | +0.014025 | 0.363183 | 0.439617 | +0.076434 | 0.573753 | 0.598186 | +0.024433 | 0.379507 | 0.407673 | +0.028166 | 0.393902 | 0.429667 | +0.035765
0.90 | 5 | 1 | 5 | 0.259166 | 0.273189 | +0.014023 | 0.363183 | 0.439613 | +0.076430 | 0.573753 | 0.598181 | +0.024427 | 0.379507 | 0.407678 | +0.028171 | 0.393902 | 0.429665 | +0.035763
0.90 | 3 | 1 | 5 | 0.259166 | 0.273190 | +0.014024 | 0.363183 | 0.439616 | +0.076433 | 0.573753 | 0.598181 | +0.024427 | 0.379507 | 0.407672 | +0.028165 | 0.393902 | 0.429665 | +0.035762
0.90 | 5 | 2 | 3 | 0.259166 | 0.273189 | +0.014023 | 0.363183 | 0.439614 | +0.076431 | 0.573753 | 0.598180 | +0.024427 | 0.379507 | 0.407675 | +0.028168 | 0.393902 | 0.429664 | +0.035762
0.90 | 5 | 1 | 3 | 0.259166 | 0.273190 | +0.014024 | 0.363183 | 0.439615 | +0.076432 | 0.573753 | 0.598177 | +0.024424 | 0.379507 | 0.407674 | +0.028167 | 0.393902 | 0.429664 | +0.035762
0.90 | 5 | 4 | 3 | 0.259166 | 0.273189 | +0.014023 | 0.363183 | 0.439613 | +0.076430 | 0.573753 | 0.598180 | +0.024427 | 0.379507 | 0.407675 | +0.028168 | 0.393902 | 0.429664 | +0.035762
0.90 | 5 | 2 | 5 | 0.259166 | 0.273189 | +0.014023 | 0.363183 | 0.439611 | +0.076428 | 0.573753 | 0.598180 | +0.024427 | 0.379507 | 0.407675 | +0.028168 | 0.393902 | 0.429664 | +0.035762
0.90 | 3 | 4 | 5 | 0.259166 | 0.273189 | +0.014023 | 0.363183 | 0.439615 | +0.076432 | 0.573753 | 0.598178 | +0.024425 | 0.379507 | 0.407672 | +0.028165 | 0.393902 | 0.429664 | +0.035761
0.90 | 5 | 4 | 5 | 0.259166 | 0.273188 | +0.014022 | 0.363183 | 0.439612 | +0.076429 | 0.573753 | 0.598180 | +0.024427 | 0.379507 | 0.407675 | +0.028168 | 0.393902 | 0.429664 | +0.035761
0.90 | 3 | 2 | 5 | 0.259166 | 0.273189 | +0.014023 | 0.363183 | 0.439615 | +0.076432 | 0.573753 | 0.598179 | +0.024425 | 0.379507 | 0.407671 | +0.028164 | 0.393902 | 0.429663 | +0.035761
0.85 | 3 | 1 | 1 | 0.259166 | 0.273099 | +0.013933 | 0.363183 | 0.435319 | +0.072136 | 0.573753 | 0.597701 | +0.023948 | 0.379507 | 0.407730 | +0.028223 | 0.393902 | 0.428462 | +0.034560
0.85 | 3 | 2 | 1 | 0.259166 | 0.273099 | +0.013933 | 0.363183 | 0.435318 | +0.072135 | 0.573753 | 0.597701 | +0.023947 | 0.379507 | 0.407730 | +0.028223 | 0.393902 | 0.428462 | +0.034560
0.85 | 3 | 4 | 1 | 0.259166 | 0.273099 | +0.013933 | 0.363183 | 0.435318 | +0.072135 | 0.573753 | 0.597700 | +0.023946 | 0.379507 | 0.407730 | +0.028223 | 0.393902 | 0.428462 | +0.034559
0.85 | 3 | 1 | 3 | 0.259166 | 0.273096 | +0.013930 | 0.363183 | 0.435314 | +0.072131 | 0.573753 | 0.597692 | +0.023939 | 0.379507 | 0.407728 | +0.028221 | 0.393902 | 0.428458 | +0.034555
0.85 | 5 | 2 | 1 | 0.259166 | 0.273095 | +0.013929 | 0.363183 | 0.435314 | +0.072131 | 0.573753 | 0.597694 | +0.023940 | 0.379507 | 0.407727 | +0.028220 | 0.393902 | 0.428457 | +0.034555
0.85 | 5 | 1 | 1 | 0.259166 | 0.273095 | +0.013929 | 0.363183 | 0.435314 | +0.072131 | 0.573753 | 0.597694 | +0.023940 | 0.379507 | 0.407727 | +0.028220 | 0.393902 | 0.428457 | +0.034555
